objective,metric,lambda_l1,lambda_l2,learning_rate,max_depth,min_data_in_leaf,n_estimators,auc_train,f1_train,auc_test,f1_test
binary,auc,0.0,0.0,0.2,50,20,10,0.7075507030795674,0.6162969206224017,0.666853922196531,0.5970935411119697
binary,auc,0.0,0.0,0.2,50,20,20,0.7360049792224647,0.6298148841788539,0.6684656640455217,0.5994005997553327
binary,auc,0.0,0.0,0.2,50,20,50,0.7789364448777922,0.6547029526708412,0.6594471829179422,0.586999472800058
binary,auc,0.0,0.0,0.2,50,20,100,0.8144064070025586,0.6772081337417225,0.6491317162448832,0.5806021667058237
binary,auc,0.0,0.0,0.2,50,50,10,0.7062094105840974,0.6155061214323749,0.6650533988541013,0.5959229386444514
binary,auc,0.0,0.0,0.2,50,50,20,0.7317058966836578,0.6296793801581142,0.668701812425553,0.5953174157849762
binary,auc,0.0,0.0,0.2,50,50,50,0.7718662252873628,0.6534083882321821,0.6646934013489094,0.5887148745152816
binary,auc,0.0,0.0,0.2,50,50,100,0.8038023694459908,0.6728033011319404,0.6534409954049452,0.5796123908354996
binary,auc,0.0,0.0,0.2,50,100,10,0.7007486757299488,0.6124799436167545,0.6670826937805785,0.5987796400920207
binary,auc,0.0,0.0,0.2,50,100,20,0.7247996161204898,0.625546178010343,0.6687486581630967,0.600522535847511
binary,auc,0.0,0.0,0.2,50,100,50,0.7601140845155365,0.6462926818114226,0.6642968111322078,0.5955920958019321
binary,auc,0.0,0.0,0.2,50,100,100,0.7909419376592733,0.6651912598072309,0.6550326505599181,0.5841061520125606
binary,auc,0.0,0.0,0.5,2,10,10,0.6804944783856426,0.5997142900578617,0.6642021465172309,0.5940334796683803
binary,auc,0.0,0.0,0.5,2,10,20,0.6898734010994291,0.6045627314876724,0.6690512007771723,0.595952342343355
binary,auc,0.0,0.0,0.5,2,10,50,0.7020023582357823,0.6115523709760969,0.6698530003330223,0.5937843115892562
binary,auc,0.0,0.0,0.5,2,10,100,0.714560820582789,0.6190918954498847,0.666640224456445,0.5907827042218714
binary,auc,0.0,0.0,0.5,2,20,10,0.6802664608937107,0.5994652111635157,0.6634254106003555,0.593692120753822
binary,auc,0.0,0.0,0.5,2,20,20,0.6909809974686536,0.6056825123812217,0.6679074115718935,0.5962855778798432
binary,auc,0.0,0.0,0.5,2,20,50,0.7027755823809758,0.6126657044745291,0.6672647475686908,0.5924606649927932
binary,auc,0.0,0.0,0.5,2,20,100,0.7140668606204966,0.6208010559183434,0.664261732464771,0.5913949410018354
binary,auc,0.0,0.0,0.5,2,50,10,0.6803906313172575,0.6001487725914799,0.6642320417670682,0.5942237228070472
binary,auc,0.0,0.0,0.5,2,50,20,0.6895508517064672,0.6058322163047278,0.669483699907262,0.5967806666179268
binary,auc,0.0,0.0,0.5,2,50,50,0.7003403755910043,0.6113702362636332,0.6707139144887991,0.5946862410953844
binary,auc,0.0,0.0,0.5,2,50,100,0.7114312896155836,0.6164260880829757,0.6685835681507157,0.5941480585438382
binary,auc,0.0,0.0,0.5,2,100,10,0.6807999704972406,0.6006569221508972,0.6648089346318069,0.5949818159939558
